restarea_name,rest_eng,rest_elc,rest_plc,rest_pha,rest_nur
밀양영남루(함양),N,N,Y,N,Y
서부산(순천),N,Y,N,N,Y
남한강(통합),N,Y,Y,N,Y
횡성(인천),N,Y,Y,N,Y
횡성(강릉),N,Y,Y,N,Y
황전(완주),N,Y,Y,N,Y
황전(순천),N,Y,Y,N,Y
황간(서울),N,Y,N,N,Y
황간(부산),N,Y,N,N,Y
화성(서울),N,Y,N,N,Y
화성(목포),N,Y,N,N,Y
화서(영덕),N,Y,Y,N,Y
홍천강(춘천),N,Y,N,N,Y
홍천(양양),N,Y,N,N,Y
홍천(서울),N,Y,N,N,Y
홍성(서울),N,Y,Y,N,Y
홍성(목포),N,Y,Y,N,Y
현풍(창원),N,Y,Y,N,Y
현풍(대구),N,Y,Y,N,Y
행담도,Y,Y,Y,Y,Y
함평천지(서울),N,Y,Y,N,Y
함평천지(목포),N,Y,Y,N,Y
함평나비(무안),N,Y,Y,N,Y
함평나비(광주),N,Y,Y,N,Y
함양(통영),N,Y,Y,N,Y
함양(대전),N,Y,Y,N,Y
함안(순천),N,N,Y,N,Y
함안(부산),N,Y,Y,N,Y
하남드림,N,Y,Y,N,Y
평택,N,Y,Y,N,Y
평창(인천),N,Y,Y,N,Y
평창(강릉),N,Y,Y,N,Y
평사(부산),N,Y,Y,N,Y
통도사(부산),N,Y,Y,N,Y
칠서(양평),Y,Y,Y,N,Y
칠곡(서울),Y,Y,Y,N,Y
칠곡(부산),N,Y,Y,N,Y
치악(춘천),N,Y,Y,N,Y
치악(부산),N,Y,Y,N,Y
충주(창원),N,Y,Y,N,Y
충주(양평),N,Y,Y,N,Y
춘향(완주),N,N,Y,N,Y
춘향(순천),N,N,Y,N,Y
춘천(부산),N,Y,Y,N,Y
추풍령(서울),Y,Y,Y,N,Y
추풍령(부산),Y,Y,Y,N,Y
청통(대구),N,Y,Y,N,Y
청주(서울),N,Y,Y,N,Y
청송(청주),N,Y,N,N,Y
청송(영덕),N,N,N,N,Y
천안호두(부산),N,Y,Y,N,Y
천안삼거리(서울),N,Y,Y,Y,Y
천등산(평택),N,Y,Y,N,Y
천등산(제천),N,Y,Y,N,Y
진주(부산),N,Y,Y,N,Y
진영(순천),Y,Y,N,N,Y
진영(부산),N,Y,N,N,Y
진안마이산(장수),N,Y,N,N,Y
진안마이산(익산),N,Y,N,N,Y
지리산(대구),N,Y,Y,N,Y
지리산(광주),N,Y,Y,N,Y
죽전(서울),N,Y,N,N,Y
죽암(서울),Y,Y,Y,N,Y
죽암(부산),N,Y,N,N,Y
주암(천안),N,Y,Y,N,Y
주암(순천),N,Y,Y,N,Y
정읍녹두장군(천안),N,Y,N,N,Y
정읍녹두장군(순천),N,Y,N,N,Y
장흥정남진,N,Y,Y,N,Y
장유(서부산),N,Y,N,N,Y
입장거봉포도(서울),Y,Y,Y,N,Y
이천(하남),N,Y,Y,N,Y
이천(남이),N,Y,N,N,Y
이서(천안),N,Y,Y,N,Y
이서(순천),N,Y,Y,N,Y
의성(청주),N,Y,Y,N,Y
의성(영덕),N,Y,Y,N,Y
음성(하남),N,Y,Y,N,Y
음성(남이),N,Y,Y,N,Y
원주(춘천),N,Y,N,N,Y
원주(부산),N,Y,N,N,Y
울주(함양),N,Y,Y,N,Y
울주(울산),N,Y,Y,N,Y
용인(인천),N,Y,Y,N,Y
용인(강릉),N,Y,Y,N,Y
외동(포항),N,Y,Y,N,Y
외동(부산),N,Y,Y,N,Y
와촌(포항),N,Y,Y,N,Y
옥천만남,Y,Y,N,N,N
옥천(서울),Y,Y,N,N,Y
옥천(부산),Y,Y,Y,N,Y
옥산(부산),Y,Y,N,N,Y
옥계(속초),N,Y,Y,N,Y
오창(하남),N,Y,Y,N,Y
오창(남이),N,Y,N,N,Y
오수(완주),N,Y,Y,N,Y
오수(순천),N,Y,Y,N,Y
예산(대전),N,Y,Y,N,Y
예산(당진),N,Y,Y,N,Y
영천(포항),N,Y,Y,N,Y
영천(대구),N,Y,Y,N,Y
영산(창원),N,Y,Y,N,Y
여주(인천),N,Y,Y,N,Y
여주(강릉),N,Y,Y,N,Y
여산(천안),N,N,N,N,Y
여산(순천),N,Y,Y,N,Y
언양(서울),N,Y,Y,N,Y
양산(서울),N,Y,Y,N,Y
안성맞춤(평택),N,Y,N,N,Y
안성맞춤(제천),N,Y,N,N,Y
안성(서울),N,Y,Y,N,Y
안성(부산),N,Y,N,N,Y
안산,N,Y,N,N,Y
안동(춘천),N,Y,N,N,Y
안동(부산),N,Y,N,N,Y
신탄진(서울),Y,Y,Y,N,Y
시흥하늘,N,Y,Y,Y,Y
순천(순천),N,N,Y,N,Y
속리산(청주),N,Y,Y,N,Y
성주(창원),N,Y,Y,N,Y
성주(양평),N,Y,Y,N,Y
섬진강(순천),N,Y,Y,N,Y
섬진강(부산),N,Y,Y,N,Y
선산(창원),N,Y,Y,N,Y
처인,N,N,Y,N,Y
밀양영남루(울산),N,N,Y,N,Y
선산(양평),N,Y,Y,N,Y
서천(서울),N,Y,N,N,Y
서천(목포),N,Y,N,N,Y
서울만남(부산),N,Y,N,N,Y
서여주(창원),N,Y,Y,N,Y
서여주(양평),N,Y,Y,N,Y
서산(서울),Y,Y,Y,N,Y
서산(목포),Y,Y,Y,N,Y
산청(통영),N,Y,Y,N,Y
산청(대전),N,Y,Y,N,Y
사천(순천),N,Y,Y,N,Y
사천(부산),N,Y,Y,N,Y
부여백제(서천),N,Y,N,N,Y
부여백제(공주),N,Y,N,N,Y
부안고려청자(서울),N,N,Y,N,Y
부안고려청자(목포),N,N,Y,N,Y
보성녹차(영암),N,Y,Y,N,Y
보성녹차(순천),N,Y,Y,N,Y
벌곡(대전),N,Y,Y,N,Y
벌곡(논산),N,Y,N,N,Y
백양사(천안),N,Y,Y,N,Y
백양사(순천),N,Y,Y,N,Y
문의청남대(청주),N,N,Y,N,Y
문의청남대(영덕),N,N,Y,N,Y
문산(순천),N,Y,Y,N,Y
문막(인천),N,Y,Y,N,Y
문막(강릉),N,Y,Y,Y,Y
문경(창원),Y,Y,Y,N,Y
문경(양평),N,Y,Y,N,Y
매송(서울),N,Y,N,N,Y
매송(목포),N,Y,N,N,Y
망향(부산),Y,Y,Y,N,Y
마장,N,Y,N,N,Y
동해(삼척),N,Y,Y,N,Y
동명(춘천),N,Y,N,N,Y
동명(부산),N,Y,N,N,Y
덕평,N,Y,Y,N,Y
덕유산(통영),N,Y,N,N,Y
덕유산(대전),N,Y,N,N,Y
대천(서울),Y,Y,Y,N,Y
대천(목포),Y,Y,Y,N,Y
단양팔경(춘천),N,Y,Y,N,Y
단양팔경(부산),N,Y,Y,N,Y
논공(대구),N,Y,N,N,Y
논공(광주),N,Y,N,N,Y
내린천,N,Y,N,N,Y
남성주참외(창원),N,Y,Y,N,Y
남성주참외(양평),N,Y,Y,N,Y
김해금관가야,N,Y,Y,N,Y
김천(서울),N,Y,Y,N,Y
김천(부산),N,Y,Y,N,Y
기흥(부산),N,Y,N,N,Y
금왕(평택),N,Y,Y,N,Y
금왕(제천),N,Y,Y,N,Y
금산인삼랜드(통영),N,Y,N,N,Y
금산인삼랜드(대전),N,Y,N,N,Y
금강(부산),Y,Y,N,N,Y
군위(춘천),N,Y,N,N,Y
군위(부산),N,Y,N,N,Y
군산(서울),N,Y,Y,Y,Y
군산(목포),N,Y,N,N,Y
구정(속초),N,Y,N,N,Y
구정(삼척),N,Y,N,N,Y
구리(일산),N,Y,N,N,Y
괴산(창원),N,Y,Y,N,Y
괴산(양평),N,Y,N,N,Y
공주(대전),N,Y,N,N,Y
공주(당진),N,Y,N,N,Y
곡성(천안),N,Y,Y,N,Y
곡성(순천),N,Y,Y,N,Y
고창고인돌(서울),N,Y,N,N,Y
고창고인돌(목포),Y,Y,N,N,Y
고성공룡나라(통영),N,Y,Y,N,Y
고성공룡나라(대전),N,Y,Y,N,Y
경주(부산),N,Y,Y,N,Y
경산(서울),N,Y,Y,N,Y
건천(서울),N,Y,N,N,Y
건천(부산),N,Y,N,N,Y
거창(대구),N,Y,N,N,Y
거창(광주),N,Y,N,N,Y
강천산(대구),N,Y,Y,N,Y
강천산(광주),N,Y,Y,N,Y
강릉(인천),N,Y,Y,N,Y
강릉(강릉),N,Y,Y,N,Y
